region,year,population,growth_rate
Region Yy,2021,586995,1.13
Region Cc,2014,960767,1.28
Region Z,1995,931248,1.03
Region Xt,2016,136949,1.54
Region Eb,2015,127248,1.42
Region Ap,2003,351146,1.25
Region Qx,2019,812448,1.18
Region Yh,2007,397985,1.91
Region Oo,2012,361473,1.87
Region Ay,2007,443336,1.59
Region Ns,2001,136278,1.85
Region Dy,2005,330731,1.9
Region Wl,1999,125060,1.28
Region Tn,2023,748456,1.14
Region Uw,1998,179443,1.51
Region Or,2014,223351,1.65
Region Zk,2015,803038,1.17
Region Ny,1995,680723,1.71
Region L,1996,187705,1.49
Region Pj,2008,908941,1.13
Region Wj,2024,941641,1.59
Region Cp,2015,563717,1.3
Region Bx,2008,343681,1.09
Region Dh,2020,782351,1.09
Region Rg,2012,276650,1.0
Region Sc,2005,386290,1.18
Region If,2005,840573,1.55
Region Bz,1996,468037,1.25
Region Rk,2023,186879,1.49
Region Nx,2024,808436,1.55
Region Zw,2021,499004,1.9
Region Rz,2018,480180,1.79
Region Fb,1996,578762,1.64
Region Bz,2019,518893,1.21
Region Ae,2014,756989,1.26
Region Kf,2012,626919,1.97
Region Kq,2024,566010,1.41
Region Ru,2010,524906,1.67
Region Kz,2024,774352,1.47
Region Cd,2001,316289,1.54
Region Xa,2024,760329,1.04
Region Mw,2002,150677,1.54
Region Sp,2011,726940,1.95
Region Sd,2010,700677,1.54
Region Ju,2023,724138,1.33
Region Lp,2012,173967,1.38
Region Tc,2003,865220,1.44
Region Kd,2001,346757,1.9
Region Oy,2005,843845,1.4
Region Ud,2006,669121,1.27
Region Un,2002,994475,1.4
Region Uu,2020,610147,1.26
Region Xz,2010,778792,1.67
Region Pc,2020,642505,1.26
Region On,1995,580262,1.01
Region Si,1996,962365,1.89
Region Zo,2019,291037,1.83
Region Cz,2023,669360,1.34
Region Wb,2009,983908,1.96
Region Fk,2019,701811,1.71
Region Nl,2014,158577,1.31
Region Ut,2001,624835,1.29
Region Kh,2008,684004,1.2
Region Lv,2020,263838,1.81
Region Jc,2000,108901,1.56
Region Uk,2005,474938,1.24
Region Hj,2008,964377,1.6
Region Fo,2022,743611,1.76
Region Rc,2024,684896,1.13
Region Qj,2022,835241,1.4
Region Ct,2016,294233,1.88
Region Oi,2006,350255,1.03
Region Sm,2003,706895,1.98
Region Ns,2006,886675,1.8
Region Ba,1998,918276,1.74
Region Eq,2008,498577,1.86
Region Go,1999,988449,1.49
Region Hn,2002,806416,1.13
Region Qw,1995,731662,1.65
Region Er,2005,381055,1.92
Region Xt,1999,960869,1.82
Region Cq,2014,815879,1.5
Region Gx,2007,253387,1.82
Region Qo,2010,185416,1.57
Region Nf,2011,877914,1.7
Region Rh,2007,749766,1.51
Region Cf,1998,531916,1.25
Region Ml,2016,864004,1.45
Region Ue,2007,198876,1.27
Region Hf,2009,481456,1.56
Region Nu,2003,331857,1.95
Region Dy,2020,434677,1.7
Region Wx,2010,724496,1.27
Region Gs,2017,292132,1.67
Region Om,2019,383668,1.34
Region Bs,2021,690601,1.33
Region Xl,2014,851079,1.38
Region Nc,2024,596243,1.97
Region Ld,2001,909948,1.55
Region Ul,2023,632920,1.7
Region Aa,2007,696932,1.29
Region Au,2023,957629,1.04
Region Us,2017,778113,1.24
Region Yu,1997,478960,1.13
Region Uz,2022,603820,1.15
Region Tw,2016,446456,1.45
Region Xq,2014,257267,1.61
Region Rg,2024,586569,1.17
Region Du,2007,936401,1.9
Region Wa,2016,638215,1.21
Region Fi,2021,923831,1.53
Region Fy,2008,925169,1.53
Region Xx,1999,673204,1.89
Region Zj,2007,632597,1.39
Region Kl,2009,192275,1.4
Region Sn,2021,154657,1.97
Region Ap,2003,434430,1.92
Region Cu,2007,104547,1.8
Region Sf,2001,424634,1.94
Region Co,2000,508798,1.8
Region Ug,2001,628807,1.71
Region Jo,2002,695484,1.25
Region Hm,2005,453626,1.09
Region Aq,2004,904564,1.59
Region Qy,2016,278190,1.15
Region Vp,2012,556326,1.6
Region Ww,2019,119605,1.98
Region Fu,2010,358892,1.99
Region Tf,2020,321589,1.62
Region Ps,2011,368884,1.51
